LOCODE,LAT,LON
IDBLT,-2.8333,107.9167
IDBEN,-8.8667,116.7167
IDBOA,-8.7667,115.2167
IDBYQ,3.5,117.8
IDSZA,-6.2,106.35
IDCXP,-7.7333,109.0
IDCBN,-6.7333,108.5667
IDCIW,-6.0167,105.95
IDDAS,-0.5,104.55
IDDMA,-2.3333,140.1333
IDDOB,-5.75,134.2167
IDDOG,-1.5333,122.25
IDSDA,1.0167,103.5667
IDGTS,-8.6333,115.2
IDGRE,-7.15,112.65
IDINA,-2.1333,132.1667
IDJPU,-6.1833,106.8333
IDJKT,-6.1333,106.8333
IDJWA,-7.7333,112.5
IDDJJ,-2.5333,140.7
IDJEP,-6.5833,110.65
IDJIP,-7.9,110.3833
IDKBH,-8.2167,124.5167
IDKSO,-7.6167,113.8833
IDKSE,-0.789275,113.921327
IDKAU,1.1833,127.9
IDKDW,-2.5333,110.2
IDKOJ,-6.3,106.3833
IDKMD,-8.5833,119.5
IDKUA,4.5333,98.0167
IDKTJ,3.35,99.4833
IDKUM,-2.7333,111.7167
IDLBO,-8.5,119.8833
IDLAH,-0.6167,127.4833
IDLBR,-8.7333,116.0667
IDLBM,1.0,104.2667
IDLTT,0.7667,117.7333
IDMDR,-6.85,112.95
IDMAK,-5.1167,119.4
IDMGB,-8.4833,115.5167
IDMKJ,2.1333,117.7333
IDCTO,-6.0833,106.9167
IDNIP,1.1167,103.55
IDPDG,-0.95,100.35
IDPPO,-3.0833,120.2333
IDPAL,-0.8833,119.85
IDPAZ,-7.6333,112.9
IDPBB,-8.45,117.3667
IDPER,1.0667,102.8667
IDPWG,0.6333,101.6167
IDPLA,-2.9833,104.8
IDPUM,-4.0333,121.5833
IDPBJ,-0.3,115.8667
IDPUT,-3.2833,116.15
IDRNI,3.9167,108.3833
IDSAP,-8.5667,118.9833
IDSKP,1.1333,103.9333
IDSRG,-6.9667,110.4833
IDSZH,-0.95,117.15
IDSTN,-3.2833,116.1667
IDSID,0.9,127.4833
IDSUB,-7.2333,112.75
IDTJQ,-2.75,107.65
IDTJB,1.0,103.4333
IDTNJ,0.9167,104.45
IDTAN,1.05,104.2333
IDTRH,-5.5667,105.3667
IDTBR,-1.0,100.3667
IDTBL,-3.0,106.5
IDUDG,4.0167,106.4667
IDWGP,-9.65,120.2667
IDAKE,1.05,127.967
IDAMP,-8.3405389,115.0919509
IDAMQ,-3.6255302,128.1054495
IDANG,-3.65,130.833
IDAPN,-0.867,121.583
IDASI,-6.65,140.417
IDBDJ,-3.3186067,114.5943784
IDBET,4.133,105.133
IDBGD,-2.733,112.55
IDBGG,-1.591,123.4991
IDBIK,-1.1833,136.0666
IDBIR,-4.817,119.483
IDBIT,1.4403744,125.1216524
IDBJU,-8.1166,114.4
IDBLW,3.784303,98.694221
